code,name
786900,Бубчиково (Сверд)
890907,Бугач (Крас)
853749,Буготак (З-Сиб)
043133,Бугры (Окт)
288846,Бугры-Полярные (Сев)
256135,Бугрыш (Горьк)
648607,Бугульма (Кбш)
659404,Бугуруслан (Кбш)
921700,Будагово (В-Сиб)
613203,Бударино (Прив)
537007,Буденновск (С-Кав)
045001,Будогощь (Окт)
962429,Будукан (ДВост)
236702,Бужаниново (Моск)
617401,Бузан-Пристань (Прив)
617308,Бузан-Пристань (перев.) (Прив)
617312,Бузанский (Прив)
651309,Буздяк (Кбш)
525017,Бузинка (рзд) (С-Кав)
953421,Бузули (Заб)
810809,Бузулук (Ю-Ур)
247901,Буинск (Горьк)
304606,Буй (Сев)
543104,Буйнакск (С-Кав)
972613,Буйневич (пп) (ДВост)
949301,Букачача (Заб)
217427,Букреевка (Моск)
825202,Булаево I (Ю-Ур)
943714,Булак (Заб)
784905,Буланаш (Сверд)
842636,Буланиха (З-Сиб)
623934,Булгаковка (рзд) (Прив)
631004,Булычево (Кбш)
273130,Бумажный (Горьк)
273520,Бумкомбинат (Горьк)
817403,Буранная (Ю-Ур)
609509,Бурасы (Прив)
293365,Бурачиха (Сев)
041439,Бурга (Окт)
917014,Буреинск (ДВост)
267303,Буреполом (Горьк)
956305,Бурея (Заб)
952215,Буринда (Заб)
620832,Буркин (рзд) (Прив)
837407,Бурла (З-Сиб)
972416,Бурлит-Волочаевский (ДВост)
315403,Бурмакино (Сев)
260501,Бурнаковская Пристань (перев.) (Горьк)
624320,Буровка (Прив)
525106,Бурсак (С-Кав)
249502,Бурундуки (Горьк)
307816,Бурундучиха (Сев)
943343,Бурятская (Заб)
803504,Бускуль (Ю-Ур)
862625,Бускускан (обп) (З-Сиб)
028504,Бусловская (Окт)
583101,Бутурлиновка (Ю-Вост)
243506,Бутылицы (Горьк)
829222,Бутырское (обп) (Ю-Ур)
238175,Бухарово (Моск)
197628,Бухолово (Моск)
658100,Бухта (Кбш)
658007,Бухта (перев.) (Кбш)
052804,Бушевец (Окт)
303444,Бушуиха (Сев)
949138,Бушулей (Заб)
996603,Буюклы (ДВост)
975908,Буянки (ДВост)
991900,Быков-Сахалинский (ДВост)
194808,Быково (Моск)
770705,Быньговский (обп) (Сверд)
944204,Бырка (Заб)
588001,Быстрореченская (С-Кав)
266211,Быструха (Горьк)
588228,Быстрый (бп) (С-Кав)
268325,Быстряги (Горьк)
